Tarih,tuketici_kredisi_faizi,1_aylik_mevduat_faizi,3_aylik_mevduat_faizi,usd_mevduat_faizi,eur_mevduat_faizi,tuketici_fiyat_endeksi,yurtici_uretici_fiyat_endeksi,ito_gecinme_endeksi,reel_kesim_guven_endeksi,istihdam_orani,issizlik_orani,konut_fiyat_endeksi,toplam_sifir_konut_satisi,toplam_ikinciel_konut_satisi,resmi_rezerv_varliklari,toplam_binek_otomobil_uretimi,usd_try,eur_try,gbp_try
2020-1,14.606,9.312,10.2,1.368,0.168,446.45,462.42,22278.1,104.1,43.5,14.1,120.9,38888.0,81178.0,102467.0,75396.0,5.91815909,6.57505909,7.72295
2020-2,13.835,8.9775,9.8775,1.1675,0.1425,448.02,464.64,22530.4,106.9,43.6,13.5,123.7,40309.0,85100.0,107724.0,87589.0,6.04447,6.5939,7.831265
2020-3,14.04,8.9725,10.085,0.955,0.13,450.58,468.69,22604.2,99.7,41.9,13.0,125.4,36901.0,77895.0,92145.0,72093.0,6.31443182,6.98874091,7.81800909
2020-4,12.065,8.7625,10.0575,1.095,0.1725,454.43,474.69,22838.6,66.8,40.3,12.8,127.5,16007.0,29211.0,86343.0,9661.0,6.81895238,7.41676667,8.44920476
2020-5,10.682,7.326,8.306,0.754,0.182,460.62,482.02,23332.7,76.9,41.0,12.6,135.9,19497.0,35708.0,90914.0,43264.0,6.95194706,7.55951765,8.54357647
2020-6,11.3975,6.9975,8.12,0.7625,0.2175,465.84,485.37,23348.3,92.6,43.0,13.0,139.5,66860.0,137174.0,86345.0,74264.0,6.80883182,7.66242273,8.51579545
2020-7,11.006,6.946,8.158,0.768,0.23,468.56,490.33,23450.1,100.7,43.0,14.6,141.4,75130.0,169003.0,90254.0,77706.0,6.85109524,7.82097619,8.62244286
2020-8,14.3925,8.285,10.2825,0.9775,0.3575,472.61,501.85,23589.1,106.2,43.8,13.0,144.4,57594.0,123870.0,83750.0,45211.0,7.25219,8.57579,9.499045
2020-9,17.2725,9.5525,11.78,1.2375,0.455,477.21,515.13,23934.8,105.3,44.0,12.4,146.7,45778.0,99670.0,79680.0,90447.0,7.50778182,8.86075,9.73848636
2020-10,18.454,10.42,12.288,1.332,0.548,487.38,533.44,24521.4,108.1,43.6,12.8,149.9,41729.0,86080.0,84526.0,95915.0,7.87388095,9.27370476,10.19898095
2020-11,19.865,12.64,14.0125,1.47,0.65,498.58,555.18,24997.1,103.9,42.4,12.9,152.2,45117.0,80079.0,82694.0,91067.0,8.00332381,9.4572,10.53298095
2020-12,21.915,14.64,16.0525,1.4925,0.7375,504.81,568.27,25337.7,106.8,41.7,13.0,154.9,46227.0,73295.0,93589.0,92300.0,7.72106522,9.38417391,10.34643043
2021-1,22.116,15.664,17.526,1.486,0.704,513.3,583.38,25632.0,107.0,42.9,13.4,157.7,25035.0,50568.0,95675.0,68777.0,7.393975,9.00809,10.066385
2021-2,21.725,15.5425,17.2875,1.1275,0.4325,517.96,590.52,26012.0,109.3,42.9,14.1,161.7,28780.0,59240.0,95309.0,68105.0,7.072365,8.556185,9.77764
2021-3,21.725,16.3175,17.6625,1.06,0.4125,523.53,614.93,26305.1,110.8,44.0,13.1,165.5,38739.0,81676.0,86689.0,74995.0,7.62823478,9.09133478,10.55907391
2021-4,23.014,17.174,18.84,1.152,0.44,532.32,641.63,26570.7,111.0,44.2,12.9,168.8,32451.0,69768.0,87969.0,76334.0,8.15502381,9.73389524,11.26215714
2021-5,23.0275,17.3975,18.7875,1.1075,0.44,537.05,666.79,27015.4,110.3,43.8,12.4,175.4,22057.0,43440.0,92033.0,66976.0,8.34225,10.13066111,11.71188333
2021-6,22.3425,17.375,18.85,1.075,0.42,547.48,693.54,27113.1,113.0,45.9,10.4,180.3,45743.0,99504.0,97692.0,62441.0,8.59668182,10.37121364,12.05358182
2021-7,22.152,17.322,18.8,0.904,0.344,557.36,710.61,27525.9,114.8,45.8,12.1,185.4,36157.0,79107.0,105760.0,33529.0,8.61294118,10.19218824,11.89087059
2021-8,22.1075,17.4425,18.91,0.7725,0.26,563.6,730.28,28044.3,113.9,46.2,12.0,192.7,47843.0,103190.0,117756.0,59539.0,8.47571429,9.97830476,11.68696667
2021-9,22.3125,17.48,19.035,0.6325,0.2225,570.66,741.58,28667.7,113.4,47.2,11.1,198.9,49589.0,108230.0,121256.0,59335.0,8.51188182,10.02857727,11.68646818
2021-10,22.214,16.432,17.802,0.566,0.19,584.32,780.45,29611.7,109.6,47.2,10.7,210.2,51461.0,100767.0,123926.0,64637.0,9.139945,10.601325,12.475785
2021-11,21.99,14.95,16.2025,0.55,0.1875,604.84,858.43,31007.8,108.4,46.4,10.9,229.2,63478.0,129342.0,125587.0,70974.0,10.52326364,12.01139545,14.1544
2021-12,24.154,16.01,17.44,0.62,0.224,686.95,1022.25,33998.8,106.1,46.0,11.3,247.4,86140.0,157256.0,111181.0,76570.0,13.52849565,15.28957826,17.96004783
2022-1,28.705,16.9675,19.2675,0.6475,0.2625,763.23,1129.03,38682.3,109.5,46.7,11.2,279.9,29233.0,63885.0,109717.0,47778.0,13.5192619,15.31479524,18.30352381
2022-2,27.35,16.09,18.11,0.6975,0.2975,799.93,1210.6,40401.4,109.8,46.6,10.6,318.0,31731.0,71706.0,110503.0,61544.0,13.621125,15.44385,18.4121
2022-3,26.3925,15.0925,17.135,0.8475,0.3725,843.64,1321.9,42942.3,108.5,46.7,11.1,347.7,45282.0,100416.0,105918.0,57041.0,14.5656087,16.05401739,19.16943913
2022-4,25.416,14.984,17.084,1.048,0.492,904.79,1423.27,47819.9,109.7,47.3,10.9,383.0,48394.0,102449.0,106858.0,62837.0,14.68356667,15.93217619,19.02198095
2022-5,26.4875,14.975,16.99,1.18,0.5975,931.76,1548.01,50612.3,109.4,47.7,10.9,431.1,38070.0,94350.0,101692.0,67162.0,15.62392222,16.52858333,19.39886111
2022-6,27.27,15.6225,18.225,1.785,0.905,977.9,1652.75,52651.3,106.4,47.7,10.2,470.0,50830.0,110854.0,98343.0,86585.0,16.96471818,17.95923636,20.91035909
2022-7,31.43,16.602,19.792,2.42,1.176,1001.03,1738.21,54805.7,103.7,47.0,10.2,507.8,31745.0,67901.0,101257.0,50795.0,17.38741667,17.77287778,20.84315556
2022-8,31.4125,16.23,19.205,2.575,1.1425,1015.65,1780.05,56063.3,102.1,47.8,9.9,548.2,43553.0,88160.0,111222.0,62560.0,17.99495,18.25220909,21.60702273
2022-9,30.878,15.026,18.782,2.924,1.088,1046.89,1865.09,59462.2,99.9,47.7,10.1,575.0,42615.0,81415.0,107042.0,74704.0,18.28147727,18.12869545,20.72597273
2022-10,30.25,14.615,19.22,2.9,1.0175,1084.0,2011.13,61819.6,100.3,47.8,10.3,605.8,51311.0,75738.0,113476.0,62363.0,18.56461429,18.24976667,20.88761429
2022-11,29.665,14.5275,21.13,2.69,0.955,1115.26,2026.08,63736.2,97.9,48.5,10.2,629.2,45694.0,84819.0,122357.0,83999.0,18.59089545,18.92045455,21.74783182
2022-12,29.006,15.246,22.964,2.556,0.914,1128.45,2021.19,65608.6,97.8,48.4,10.3,662.7,88600.0,137023.0,128736.0,93521.0,18.63696818,19.70469091,22.64527727
2023-1,29.0525,15.795,24.4825,2.4375,0.8125,1203.48,2105.17,69503.0,101.7,48.6,9.7,708.5,29924.0,73003.0,125340.0,70723.0,18.75757273,20.19571364,22.85555455
